Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/09/2023,73,102,12:53 AM
07/09/2023,73,102,01:43 AM
07/09/2023,72,102,01:53 AM
07/09/2023,72,102,02:53 AM
07/09/2023,73,102,03:53 AM
07/09/2023,73,102,04:53 AM
07/09/2023,73,102,05:34 AM
07/09/2023,74,102,05:53 AM
07/09/2023,73,102,06:06 AM
07/09/2023,72,102,06:53 AM
07/09/2023,72,102,07:21 AM
07/09/2023,73,102,07:43 AM
07/09/2023,73,102,07:53 AM
07/09/2023,73,102,08:08 AM
07/09/2023,74,102,08:21 AM
07/09/2023,75,102,08:53 AM
07/09/2023,75,102,09:20 AM
07/09/2023,76,102,09:30 AM
07/09/2023,77,102,09:53 AM
07/09/2023,79,102,10:53 AM
07/09/2023,83,102,11:53 AM
07/09/2023,83,102,12:53 AM
07/09/2023,85,102,01:53 PM
07/09/2023,86,102,02:53 PM
07/09/2023,87,102,03:53 PM
07/09/2023,85,102,04:53 PM
07/09/2023,85,102,05:53 PM
07/09/2023,83,102,06:53 PM
07/09/2023,82,102,07:53 PM
07/09/2023,80,102,08:53 PM
07/09/2023,80,102,09:53 PM
07/09/2023,74,102,10:53 PM
07/09/2023,76,102,11:53 PM
08/09/2023,70,102,12:53 AM
08/09/2023,69,102,01:53 AM
08/09/2023,68,102,02:53 AM
08/09/2023,67,102,03:53 AM
08/09/2023,66,102,04:53 AM
08/09/2023,67,102,05:53 AM
08/09/2023,67,102,06:53 AM
08/09/2023,68,102,07:53 AM
08/09/2023,72,102,08:53 AM
08/09/2023,75,102,09:53 AM
08/09/2023,79,102,10:53 AM
08/09/2023,81,102,11:53 AM
08/09/2023,82,102,12:53 PM
08/09/2023,85,102,01:53 PM
08/09/2023,85,102,02:53 PM
08/09/2023,88,102,03:53 PM
08/09/2023,87,102,04:53 PM
08/09/2023,85,102,05:53 PM
08/09/2023,81,102,06:26 PM
08/09/2023,79,102,06:33 PM
08/09/2023,72,102,06:42 PM
08/09/2023,73,102,06:53 PM
08/09/2023,73,102,07:03 PM
08/09/2023,73,102,07:53 PM
08/09/2023,72,102,08:53 PM
08/09/2023,72,102,09:25 PM
08/09/2023,72,102,10:53 PM
08/09/2023,71,102,11:53 PM
