Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/10/2024,81,102,12:35 AM
07/10/2024,81,102,12:53 AM
07/10/2024,80,102,01:53 AM
07/10/2024,78,102,02:53 AM
07/10/2024,76,102,03:53 AM
07/10/2024,76,102,04:53 AM
07/10/2024,75,102,05:41 AM
07/10/2024,76,102,05:53 AM
07/10/2024,75,102,06:26 AM
07/10/2024,75,102,06:53 AM
07/10/2024,75,102,07:14 AM
07/10/2024,75,102,07:43 AM
07/10/2024,75,102,07:53 AM
07/10/2024,76,102,08:53 AM
07/10/2024,78,102,09:53 AM
07/10/2024,80,102,10:53 AM
07/10/2024,81,102,11:53 AM
07/10/2024,81,102,12:53 PM
07/10/2024,84,102,01:53 PM
07/10/2024,88,102,02:53 PM
07/10/2024,87,102,03:53 PM
07/10/2024,91,102,04:53 PM
07/10/2024,89,102,05:53 PM
07/10/2024,90,102,06:53 PM
07/10/2024,87,102,07:53 PM
07/10/2024,84,102,08:53 PM
07/10/2024,79,102,09:53 PM
07/10/2024,77,102,10:53 PM
07/10/2024,75,102,11:53 PM
08/10/2024,79,102,12:53 AM
08/10/2024,78,102,01:53 AM
08/10/2024,77,102,02:53 AM
08/10/2024,76,102,03:53 AM
08/10/2024,75,102,04:53 AM
08/10/2024,75,102,05:53 AM
08/10/2024,73,102,06:53 AM
08/10/2024,74,102,07:53 AM
08/10/2024,76,102,08:53 AM
08/10/2024,78,102,09:53 AM
08/10/2024,82,102,10:53 AM
08/10/2024,84,102,11:53 AM
08/10/2024,87,102,12:53 PM
08/10/2024,87,102,01:53 PM
08/10/2024,90,102,02:53 PM
08/10/2024,91,102,03:53 PM
08/10/2024,90,102,04:53 PM
08/10/2024,91,102,05:53 PM
08/10/2024,88,102,06:53 PM
08/10/2024,85,102,07:53 PM
08/10/2024,82,102,08:53 PM
08/10/2024,79,102,09:53 PM
08/10/2024,78,102,10:53 PM
08/10/2024,76,102,11:53 PM
