Store Name,StoreID,Latitude ,Longitude,Address,Store Brand,Parking Lot Area (square meters),Panel Area (square meters),Total Covered Area,Parking Lot Perimeter (Meters),Parking Lot Area (Square Feet),Parking Lot Perimeter (Kilometers),System Losses,Panel Efficiency,Temperature Coefficient,"Solar Irradiance, Jan.","Solar Irradiance, Feb.","Solar Irradiance, Mar.","Solar Irradiance, Apr.","Solar Irradiance, May.","Solar Irradiance, Jun.","Solar Irradiance, Jul.","Solar Irradiance, Aug.","Solar Irradiance, Sept.","Solar Irradiance, Oct.","Solar Irradiance, Nov.","Solar Irradiance, Dec.",Solar Irradiance/yr
Walmart Supercenter #5251,WM#1,"35° 0'34.82""N","85°12'20.05""W","490 Greenway View Drive, Chattanooga TN 37411",Walmart,36659,29327.2,80%,760,394597,0.76,12.05%,20%,-0.25%,20650.5,21620.5,27004.5,28253.7,30510.1,29897,29907.6,31331.8,27988.7,26785.4,21998.6,19226.3,315174.7
Walmart Supercenter #1469,WM#2,"35° 1'58.12""N","85° 9'5.41""W","2020 Gunbarrel Rd Ste 250, Chattanooga, TN 37421",Walmart,19483,15586.4,80%,614,209714,0.61,12.05%,20%,-0.25%,8780,10177.3,11481.5,12413.1,12972,13135.1,12715.9,13321.4,12296.6,11388.4,9665,8174.5,136520.8
Walmart Supercenter #3659,WM#3,"35° 5'39.81""N","85°19'50.99""W","501 Signal Mountain Rd, Chattanooga, TN 37405",Walmart,22247,17797.6,80%,654,239462,0.65,12.05%,20%,-0.25%,12532.3,13120.7,16388,17146.1,18515.4,18143.4,18149.8,19014.1,16985.3,16255,13350.2,11667.7,191268
Walmart Neighborhood Market #3619,WM#4,"35° 6'53.59""N","85°15'44.15""W","3901 Hixson Pike, Chattanooga, TN 37415",Walmart,4581,3664.08,80%,276,49314,0.28,12.05%,20%,-0.25%,2580.5,2701.7,3374.5,3530.6,3812.6,3736,3737.3,3915.3,3497.5,3347.1,2749,2402.5,39384.6
Walmart Supercenter #1606,WM#5,"35° 9'11.58""N","85°14'47.93""W","5764 Highway 153, Chattanooga, TN 37343",Walmart,19365,15492,80%,546,208438,0.55,12.05%,20%,-0.25%,10908.5,11420.9,14265,14924.9,16116.8,15793,15798.6,16550.9,14784.9,14149.3,11620.7,10156.2,166489.7
Walmart Supercenter #3660,WM#6,"35° 1'0.33""N","85°22'33.58""W","3550 Cummings Hwy Chattanooga, TN 37419",Walmart,30072,24057.6,80%,713,323687,0.71,12.05%,20%,-0.25%,16939.9,17735.7,22152.2,23177,25028,24525,24533.7,3305.9,2953,2826.2,2321.1,15771.6,181269.3
Walmart Neighborhood Market,WM#7,"35° 0'18.26""N","85° 8'58.44""W"," 8101 East Brainerd Rd, Chattanooga, TN 37421",Walmart,4835,3868,80%,294,52046,0.29,12.05%,20%,-0.25%,2723.6,2851.5,3561.6,3726.4,4024,3943.1,3944.5,4132.3,3691.4,3532.7,2901.4,2535.7,41568.2
Target Chattanooga East,Target#1,"35° 1'29.01""N","85° 9'23.07""W","1816 Gunbarrel Rd  Chattanooga, TN 37421-3129",Target,16868,13494.4,80%,516,181459,0.52,12.05%,20%,-0.25%,9501.9,9948.3,12425.6,13000.4,14038.7,13756.5,13761.4,14416.7,12878.5,12324.8,10122.3,8846.6,145021.7
Target Chattanooga North,Target#2,"35° 8'45.75""N","85°15'3.61""W","5579 Highway 153  Hixson, TN 37343-3748",Target,10773,8618.4,80%,414,115957,0.41,12.05%,20%,-0.25%,66068.5,6353.6,7935.8,8302.9,8966,8785.8,8788.9,9207.4,8225,7871.4,6464.7,5650,152620
Publix Super Market at Village at Waterside,Publix#1,"35° 2'36.85""N","85° 8'57.62""W","7326 McCutcheon Road, Chattanooga, TN 37421",Publix,6224,4979.2,80%,312,66990,0.31,12.05%,20%,-0.25%,3506,3670.7,4584.8,4796.9,5180,5075.9,5077.7,5319.5,4751.9,4547.6,3734.9,3264.2,53510.1
